"","","","song_title"
"101","SCETTYB104","Mohmad Rafi","Gulabi Ankhe,Baharo Phool Barsao,Khoya khoya chand ,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Baharo Phool Barsao,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Tum Bin Jaoon Kahan,Khoya khoya chand ,Khoya khoya chand ,Baharo Phool Barsao,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Tum Bin Jaoon Kahan,Khoya khoya chand ,Baharo Phool Barsao,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Baharo Phool Barsao,Khoya khoya chand ,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Gulabi Ankhe,Baharo Phool Barsao"
"102","SCETTYB104","Namak Haram","Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai"
"103","SCETTYB104","Nastik","Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din"
"104","SCETTYB104","Om Shanti Om","Dhoom Taana,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Dhoom Taana,Deewangi Deewangi,Deewangi Deewangi,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Dhoom Taana,Dhoom Taana,Dhoom Taana,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Dhoom Taana,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Om Shanti Om,Om Shanti Om,Dhoom Taana,Dhoom Taana,Dhoom Taana,Dhoom Taana"
"105","SCETTYB104","Partner","Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria"
"106","SCETTYB104","Parvarish","Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye"
"107","SCETTYB104","Rockstar","Jo Bhi Main,Sadda Haq,Sadda Haq,Sadda Haq,Jo Bhi Main,Hawa Hawaa,Tum Ho,Sadda Haq,Jo Bhi Main,Sadda Haq,Sadda Haq,Jo Bhi Main,Sadda Haq,Naadaan Parindey,Jo Bhi Main,Tum Ho,Jo Bhi Main,Hawa Hawaa,Tum Ho"
"108","SCETTYB104","Rocky","AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara "
"109","SCETTYB104","Sharmili","Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re"
"110","SCETTYB104","Shree 422","Mera Joota Hai Japani"
"111","SCETTYB104","Shree 424","Mera Joota Hai Japani,Mera Joota Hai Japani"
"112","SCETTYB104","Singh Is King","Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda"
"113","SCETTYB104","Yeh Jawanni Hai Devani","Ilahi,Ilahi,Ilahi,Ilahi,Ilahi,Ilahi,Ilahi,Ilahi,Ilahi,Ilahi"
